"State","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984"
"South Dakota",79850,81740,67180,73890,70190,64260,59460,56890,57450,55070,53050,54450,49420,47220,45350,45830,51600,46420,45430,43150,41110,39520,37870,39670,36480,35830,32790,29690,29530,29580,29730,27740,26260,24640,24570,24110,22290,21150,19900,18140,19410
"Tennessee",75860,72700,65380,62170,54970,56630,56060,55240,51340,47330,43720,42500,43000,42280,38590,40520,39700,41200,40690,39410,38070,37520,37030,35780,34100,36520,34090,30640,30790,29020,28640,25100,24320,24450,22590,22610,20860,21180,18260,17780,16780
"Texas",81490,79060,74640,67400,68400,67440,59790,59300,58150,56470,53880,53030,51930,49050,47270,47480,46490,46050,43310,41420,41400,39270,40150,40860,38610,38690,35780,35080,33070,32040,30760,28730,27950,27730,28230,25890,24960,24720,24160,23740,23020
"Utah",104000,101200,95800,87650,83990,84520,77070,71320,67480,66260,63380,62970,58340,55490,56700,58490,62540,53530,54630,54810,50870,49280,47860,47340,47550,46050,44300,42780,37040,36480,35720,35790,34250,28020,30140,30720,26310,26530,26280,25240,23060
"Vermont",85260,85190,72190,76080,67260,74310,70070,63810,60840,59490,60710,54840,55580,51860,55930,52320,50710,47390,51980,50700,47330,43260,43000,40790,39590,41580,39370,35050,32360,33820,35800,31070,32760,29160,31100,31300,28990,25420,24600,26000,22580
"Virginia",97720,96490,85170,80270,82210,81310,77150,71290,66450,61490,66160,67620,64630,62620,60370,60500,61990,59160,57120,51910,51140,54780,49630,50240,47160,45690,43350,42960,39210,36220,37650,36430,38200,36140,35070,34120,32650,30000,29720,28430,26530
"Washington",97500,93440,89430,87650,81360,82450,79730,75420,70310,67240,59070,60110,62190,56850,56160,60390,56630,58080,54720,50650,49920,47510,45180,42490,42530,45470,47420,44560,36680,35570,33530,35660,33900,33970,32110,31960,32330,27320,26880,24000,25020
"West Virginia",63150,60410,52460,46840,51970,53710,50570,45390,44350,42820,39550,40240,43550,41820,42780,40490,37990,42090,38420,36450,33370,32760,29360,29670,29410,29300,26700,27490,25250,24880,23560,22420,20270,23150,22140,21680,19350,17210,16460,15980,16840
"Wisconsin",82560,79690,73330,69940,67410,67350,62630,63450,59820,55430,58080,55260,53080,52060,50350,51240,51200,51280,51690,44650,45730,46270,45900,45350,45090,45670,41330,39600,40000,40960,35390,31770,33310,31130,30710,29120,29580,26370,26430,23250,20740
"Wyoming",78680,77200,73090,71050,65450,65130,62540,57840,57830,60930,55690,55700,57510,54510,52200,52470,53340,48740,47040,44720,45400,42560,39760,39720,39630,37250,35250,33420,30950,31530,33140,29440,30210,29050,29460,29520,26420,27590,23560,22080,23820
