GEOID,state,medinc_totalE,medinc_totalM,medinc_15_24E,medinc_15_24M,medinc_25_44E,medinc_25_44M,medinc_45_64E,medinc_45_64M,medinc_65_plusE,medinc_65_plusM,year,med_rentE,med_rentM,annual_rent,rtb_15_24,rtb_25_44,burden_cat_young,burden_cat_established,affordability_gap
27,Minnesota,61492,226,30194,740,68946,529,75401,473,39538,305,2015,848,4,10176,33.702060011922896,14.759376903663737,Burdened (30-50%),Affordable (<30%),18.94268310825916
28,Mississippi,40528,258,22097,1006,44609,688,46729,629,31321,482,2016,723,5,8676,39.26324840476082,19.448990114102536,Burdened (30-50%),Affordable (<30%),19.814258290658287
29,Missouri,49593,259,24947,685,55312,505,59638,544,36862,270,2016,759,4,9108,36.509399927847035,16.466589528492914,Burdened (30-50%),Affordable (<30%),20.04281039935412
30,Montana,48380,532,27191,1266,55197,851,56992,1101,36956,632,2016,732,6,8784,32.30480673752344,15.91390836458503,Burdened (30-50%),Affordable (<30%),16.390898372938413
31,Nebraska,54384,314,28598,1044,59886,719,67947,689,38712,531,2016,745,5,8940,31.260927337576057,14.928363891393648,Burdened (30-50%),Affordable (<30%),16.33256344618241
32,Nevada,53094,378,32111,907,55131,630,61355,668,42453,513,2016,984,4,11808,36.77244557939647,21.418076944006096,Burdened (30-50%),Affordable (<30%),15.354368635390372
33,New Hampshire,68485,579,35672,2718,75233,1202,82900,830,45599,719,2016,1021,10,12252,34.346265978919035,16.28540666994537,Burdened (30-50%),Affordable (<30%),18.060859308973665
34,New Jersey,73702,377,33775,1440,79431,752,90790,595,47236,378,2016,1213,4,14556,43.09696521095485,18.325338973448655,Burdened (30-50%),Affordable (<30%),24.771626237506194
35,New Mexico,45674,350,24992,1110,47567,891,54098,722,37792,682,2016,792,6,9504,38.028169014084504,19.980238400571825,Burdened (30-50%),Affordable (<30%),18.04793061351268
36,New York,60741,209,29884,733,67678,516,72292,367,40369,220,2016,1159,3,13908,46.53995449069736,20.55025266704099,Burdened (30-50%),Affordable (<30%),25.98970182365637
37,North Carolina,48256,229,25728,500,51764,308,57243,435,36870,271,2016,816,3,9792,38.059701492537314,18.91662159029441,Burdened (30-50%),Affordable (<30%),19.143079902242903
38,North Dakota,59114,853,33752,2611,69045,1565,75181,1095,38102,894,2016,736,7,8832,26.167338231808486,12.791657614599176,Affordable (<30%),Affordable (<30%),13.37568061720931
39,Ohio,50674,157,23937,449,55894,414,61986,339,37186,224,2016,743,2,8916,37.24777541045244,15.95162271442373,Burdened (30-50%),Affordable (<30%),21.296152696028713
40,Oklahoma,48038,247,26993,536,52500,440,57316,401,36977,340,2016,742,3,8904,32.98632978920461,16.96,Burdened (30-50%),Affordable (<30%),16.02632978920461
41,Oregon,53270,327,26100,776,58738,707,63749,611,40652,443,2016,941,4,11292,43.264367816091955,19.22435220811059,Burdened (30-50%),Affordable (<30%),24.040015607981363
